algo,mu,lambda,ngen,fitness,popsize,mutation,recomb,particles,w,c1,c2
ES,20.0,40.0,50.0,104.672,,,,,,,
ES,15.0,30.0,50.0,101.176,,,,,,,
ES,20.0,30.0,80.0,95.818,,,,,,,
ES,20.0,40.0,80.0,95.312,,,,,,,
ES,15.0,40.0,50.0,94.83,,,,,,,
DE,,,,93.3,15.0,"(0.5, 1.0)",0.7,,,,
DE,,,,92.95,20.0,"(0.5, 1.0)",0.9,,,,
PSO,,,,92.374,,,,60.0,0.9,1.49445,1.49445
ES,15.0,40.0,80.0,90.636,,,,,,,
DE,,,,90.47200000000001,10.0,"(0.5, 1.0)",0.7,,,,
PSO,,,,89.556,,,,60.0,0.5,1.49445,1.49445
DE,,,,87.56,15.0,"(0.7, 1.2)",0.7,,,,
PSO,,,,86.964,,,,30.0,0.5,1.49445,1.49445
ES,20.0,30.0,50.0,85.732,,,,,,,
DE,,,,85.506,15.0,"(0.7, 1.2)",0.9,,,,
DE,,,,84.784,15.0,"(0.5, 1.0)",0.9,,,,
DE,,,,83.272,20.0,"(0.5, 1.0)",0.7,,,,
DE,,,,81.176,20.0,"(0.7, 1.2)",0.7,,,,
DE,,,,79.322,10.0,"(0.5, 1.0)",0.9,,,,
ES,15.0,30.0,80.0,78.052,,,,,,,
DE,,,,76.274,20.0,"(0.7, 1.2)",0.9,,,,
DE,,,,75.56,10.0,"(0.7, 1.2)",0.9,,,,
DE,,,,73.93,10.0,"(0.7, 1.2)",0.7,,,,
PSO,,,,65.348,,,,30.0,0.9,1.49445,1.49445
