algo,popsize,mutation,recomb,fitness,mu,lambda,ngen,particles,w,c1,c2
DE,10.0,"(0.7, 1.2)",0.7,99.082,,,,,,,
ES,,,,98.14,20.0,30.0,80.0,,,,
ES,,,,96.824,20.0,30.0,50.0,,,,
PSO,,,,93.532,,,,60.0,0.5,1.49445,1.49445
DE,20.0,"(0.7, 1.2)",0.7,91.144,,,,,,,
PSO,,,,90.876,,,,60.0,0.9,1.49445,1.49445
ES,,,,89.324,20.0,40.0,80.0,,,,
ES,,,,88.256,15.0,30.0,50.0,,,,
DE,15.0,"(0.5, 1.0)",0.7,86.714,,,,,,,
PSO,,,,85.95400000000001,,,,30.0,0.9,1.49445,1.49445
ES,,,,85.764,15.0,30.0,80.0,,,,
DE,10.0,"(0.5, 1.0)",0.7,85.412,,,,,,,
ES,,,,84.508,15.0,40.0,80.0,,,,
PSO,,,,84.104,,,,30.0,0.5,1.49445,1.49445
ES,,,,84.05,20.0,40.0,50.0,,,,
DE,10.0,"(0.5, 1.0)",0.9,81.864,,,,,,,
ES,,,,81.028,15.0,40.0,50.0,,,,
DE,10.0,"(0.7, 1.2)",0.9,81.024,,,,,,,
DE,20.0,"(0.5, 1.0)",0.9,80.932,,,,,,,
DE,15.0,"(0.7, 1.2)",0.7,77.49,,,,,,,
DE,20.0,"(0.7, 1.2)",0.9,77.002,,,,,,,
DE,15.0,"(0.7, 1.2)",0.9,76.474,,,,,,,
DE,20.0,"(0.5, 1.0)",0.7,74.85600000000001,,,,,,,
DE,15.0,"(0.5, 1.0)",0.9,71.666,,,,,,,
